"States","Year","Cases","Population"
"Perlis",1999,46,205700
"Perlis",2000,29,207600
"Perlis",2001,157,210400
"Perlis",2002,179,213200
"Perlis",2003,148,216000
"Perlis",2004,398,218800
"Perlis",2005,324,221600
"Perlis",2006,193,224400
"Perlis",2007,311,227200
"Perlis",2008,184,230100
"Perlis",2009,191,233000
"Perlis",2010,215,235800
"Perlis",2011,110,237300
"Perlis",2012,172,239400
"Perlis",2013,226,242100
"Perlis",2014,317,245100
"Perlis",2015,258,248500
"Perlis",2016,183,251000
"Perlis",2017,175,252000
"Perlis",2018,369,253500
"Perlis",2019,288,254000
"Kedah",1999,892,1636500
"Kedah",2000,471,1671900
"Kedah",2001,590,1703900
"Kedah",2002,751,1734800
"Kedah",2003,1278,1763700
"Kedah",2004,1742,1792400
"Kedah",2005,1862,1820300
"Kedah",2006,1907,1847500
"Kedah",2007,2584,1874200
"Kedah",2008,1678,1900200
"Kedah",2009,750,1925300
"Kedah",2010,782,1949300
"Kedah",2011,514,1971800
"Kedah",2012,817,2001100
"Kedah",2013,813,2039800
"Kedah",2014,1014,2062700
"Kedah",2015,1000,2096500
"Kedah",2016,994,2119700
"Kedah",2017,1430,2143900
"Kedah",2018,2190,2163000
"Kedah",2019,1587,2173700
"Pulau Pinang",1999,585,1307500
"Pulau Pinang",2000,160,1332700
"Pulau Pinang",2001,2288,1361000
"Pulau Pinang",2002,941,1387300
"Pulau Pinang",2003,746,1412200
"Pulau Pinang",2004,1767,1436600
"Pulau Pinang",2005,3527,1460400
"Pulau Pinang",2006,2653,1484100
"Pulau Pinang",2007,3106,1507800
"Pulau Pinang",2008,2324,1531300
"Pulau Pinang",2009,2444,1554300
"Pulau Pinang",2010,1834,1575900
"Pulau Pinang",2011,1579,1601000
"Pulau Pinang",2012,791,1623200
"Pulau Pinang",2013,1053,1662600
"Pulau Pinang",2014,3141,1678100
"Pulau Pinang",2015,5830,1698100
"Pulau Pinang",2016,2576,1717700
"Pulau Pinang",2017,2681,1744100
"Pulau Pinang",2018,6071,1762800
"Pulau Pinang",2019,4119,1768800
"Perak",1999,1047,2076700
"Perak",2000,387,2091700
"Perak",2001,1391,2129000
"Perak",2002,3278,2161800
"Perak",2003,4418,2192100
"Perak",2004,3108,2222100
"Perak",2005,3082,2251100
"Perak",2006,2007,2279300
"Perak",2007,2889,2306400
"Perak",2008,4219,2331600
"Perak",2009,2734,2355700
"Perak",2010,2288,2379000
"Perak",2011,1411,2402700
"Perak",2012,1716,2427000
"Perak",2013,2519,2447200
"Perak",2014,7525,2458800
"Perak",2015,9466,2466900
"Perak",2016,3777,2482100
"Perak",2017,5411,2493200
"Perak",2018,2736,2503500
"Perak",2019,3226,2508800
"Selangor",1999,1956,3981900
"Selangor",2000,1439,4188900
"Selangor",2001,3828,4317500
"Selangor",2002,9385,4446300
"Selangor",2003,6769,4577300
"Selangor",2004,9189,4712800
"Selangor",2005,12705,4849600
"Selangor",2006,12264,4986200
"Selangor",2007,15891,5127100
"Selangor",2008,21262,5268500
"Selangor",2009,18676,5417800
"Selangor",2010,16367,5502100
"Selangor",2011,7758,5600300
"Selangor",2012,9113,5702400
"Selangor",2013,23852,5904700
"Selangor",2014,54290,6051300
"Selangor",2015,63198,6178000
"Selangor",2016,51652,6291500
"Selangor",2017,45290,6380700
"Selangor",2018,45349,6475000
"Selangor",2019,72543,6506100
"Kuala Lumpur",1999,1329,1394000
"Kuala Lumpur",2000,494,1416000
"Kuala Lumpur",2001,2069,1446200
"Kuala Lumpur",2002,6723,1474100
"Kuala Lumpur",2003,5629,1500500
"Kuala Lumpur",2004,6288,1526400
"Kuala Lumpur",2005,5680,1551800
"Kuala Lumpur",2006,7804,1577500
"Kuala Lumpur",2007,7439,1603300
"Kuala Lumpur",2008,5446,1628900
"Kuala Lumpur",2009,3746,1652800
"Kuala Lumpur",2010,4205,1674800
"Kuala Lumpur",2011,2038,1693000
"Kuala Lumpur",2012,1814,1702100
"Kuala Lumpur",2013,2570,1723400
"Kuala Lumpur",2014,7185,1737400
"Kuala Lumpur",2015,8332,1780400
"Kuala Lumpur",2016,8663,1789700
"Kuala Lumpur",2017,8350,1793200
"Kuala Lumpur",2018,7591,1790000
"Kuala Lumpur",2019,15424,1782500
"Negeri Sembilan",1999,427,849500
"Negeri Sembilan",2000,765,866100
"Negeri Sembilan",2001,992,883700
"Negeri Sembilan",2002,1574,900300
"Negeri Sembilan",2003,2032,916800
"Negeri Sembilan",2004,1584,933700
"Negeri Sembilan",2005,1379,950300
"Negeri Sembilan",2006,1201,967000
"Negeri Sembilan",2007,1275,983500
"Negeri Sembilan",2008,1405,999600
"Negeri Sembilan",2009,1057,1014900
"Negeri Sembilan",2010,1501,1029500
"Negeri Sembilan",2011,737,1047400
"Negeri Sembilan",2012,552,1057700
"Negeri Sembilan",2013,1198,1072200
"Negeri Sembilan",2014,3781,1079600
"Negeri Sembilan",2015,2454,1088800
"Negeri Sembilan",2016,2879,1099300
"Negeri Sembilan",2017,3055,1114000
"Negeri Sembilan",2018,1864,1122900
"Negeri Sembilan",2019,2305,1126200
"Melaka",1999,229,633100
"Melaka",2000,104,646600
"Melaka",2001,129,665800
"Melaka",2002,355,684100
"Melaka",2003,632,701800
"Melaka",2004,865,719800
"Melaka",2005,909,737300
"Melaka",2006,957,755000
"Melaka",2007,732,772800
"Melaka",2008,830,790500
"Melaka",2009,769,807800
"Melaka",2010,1485,823600
"Melaka",2011,450,833200
"Melaka",2012,449,843200
"Melaka",2013,1505,856700
"Melaka",2014,2770,871700
"Melaka",2015,2420,889000
"Melaka",2016,2299,901100
"Melaka",2017,1425,913100
"Melaka",2018,722,922400
"Melaka",2019,2156,928400
"Johor",1999,957,2699400
"Johor",2000,1434,2762500
"Johor",2001,2346,2829900
"Johor",2002,3952,2893600
"Johor",2003,3249,2954000
"Johor",2004,3056,3014600
"Johor",2005,2974,3074400
"Johor",2006,2726,3134400
"Johor",2007,3363,3193500
"Johor",2008,3908,3252300
"Johor",2009,2528,3309400
"Johor",2010,4406,3362900
"Johor",2011,1583,3410500
"Johor",2012,1650,3450400
"Johor",2013,4828,3474400
"Johor",2014,6323,3559800
"Johor",2015,15743,3610300
"Johor",2016,10641,3651800
"Johor",2017,7932,3697000
"Johor",2018,5885,3749400
"Johor",2019,10873,3761200
"Pahang",1999,782,1272500
"Pahang",2000,390,1295800
"Pahang",2001,597,1317300
"Pahang",2002,1299,1338700
"Pahang",2003,1487,1360000
"Pahang",2004,1597,1380200
"Pahang",2005,1823,1400800
"Pahang",2006,1358,1421200
"Pahang",2007,2657,1441400
"Pahang",2008,1327,1461600
"Pahang",2009,907,1481700
"Pahang",2010,1688,1501900
"Pahang",2011,894,1526800
"Pahang",2012,641,1547100
"Pahang",2013,725,1568700
"Pahang",2014,2170,1591700
"Pahang",2015,3001,1607900
"Pahang",2016,3050,1626700
"Pahang",2017,1690,1647000
"Pahang",2018,990,1664700
"Pahang",2019,2873,1671400
"Terengganu",1999,433,896600
"Terengganu",2000,125,902600
"Terengganu",2001,271,920000
"Terengganu",2002,1176,936600
"Terengganu",2003,833,951400
"Terengganu",2004,1103,966600
"Terengganu",2005,747,981400
"Terengganu",2006,726,995900
"Terengganu",2007,1269,1010400
"Terengganu",2008,1721,1025200
"Terengganu",2009,968,1040700
"Terengganu",2010,1472,1055400
"Terengganu",2011,675,1079000
"Terengganu",2012,739,1094100
"Terengganu",2013,600,1113400
"Terengganu",2014,1688,1140400
"Terengganu",2015,1455,1161000
"Terengganu",2016,2009,1183400
"Terengganu",2017,292,1208000
"Terengganu",2018,550,1228300
"Terengganu",2019,542,1244500
"Kelantan",1999,444,1344700
"Kelantan",2000,368,1361400
"Kelantan",2001,1007,1390000
"Kelantan",2002,1778,1416700
"Kelantan",2003,2676,1440500
"Kelantan",2004,1682,1463800
"Kelantan",2005,1326,1486300
"Kelantan",2006,2014,1507600
"Kelantan",2007,3503,1529100
"Kelantan",2008,2399,1549800
"Kelantan",2009,1031,1570000
"Kelantan",2010,3578,1589900
"Kelantan",2011,743,1618800
"Kelantan",2012,1245,1651000
"Kelantan",2013,1427,1683500
"Kelantan",2014,14456,1723400
"Kelantan",2015,2850,1760600
"Kelantan",2016,6180,1796700
"Kelantan",2017,2515,1829000
"Kelantan",2018,1950,1860500
"Kelantan",2019,6003,1883800
"Sarawak",1999,675,2024500
"Sarawak",2000,784,2071500
"Sarawak",2001,461,2115600
"Sarawak",2002,994,2158300
"Sarawak",2003,856,2199000
"Sarawak",2004,568,2240400
"Sarawak",2005,1411,2282400
"Sarawak",2006,1821,2324900
"Sarawak",2007,1845,2366100
"Sarawak",2008,1517,2408400
"Sarawak",2009,4490,2450800
"Sarawak",2010,4240,2487100
"Sarawak",2011,974,2527900
"Sarawak",2012,1519,2569700
"Sarawak",2013,1292,2642500
"Sarawak",2014,2571,2664000
"Sarawak",2015,1923,2701500
"Sarawak",2016,2773,2738700
"Sarawak",2017,952,2766300
"Sarawak",2018,823,2791700
"Sarawak",2019,2648,2806000
"Sabah",1999,344,2513500
"Sabah",2000,153,2603500
"Sabah",2001,242,2663300
"Sabah",2002,382,2719100
"Sabah",2003,792,2774000
"Sabah",2004,930,2833400
"Sabah",2005,1901,2897000
"Sabah",2006,911,2962900
"Sabah",2007,1953,3032300
"Sabah",2008,1045,3105100
"Sabah",2009,1170,3181100
"Sabah",2010,2091,3260000
"Sabah",2011,402,3345500
"Sabah",2012,672,3432700
"Sabah",2013,724,3611500
"Sabah",2014,1456,3669900
"Sabah",2015,2904,3720500
"Sabah",2016,3668,3802800
"Sabah",2017,2560,3855900
"Sabah",2018,3423,3898400
"Sabah",2019,5478,3904400
"Labuan",1999,0,73300
"Labuan",2000,0,76100
"Labuan",2001,0,77000
"Labuan",2002,0,77800
"Labuan",2003,0,78700
"Labuan",2004,18,79700
"Labuan",2005,36,80800
"Labuan",2006,14,82000
"Labuan",2007,29,83200
"Labuan",2008,70,84600
"Labuan",2009,25,86300
"Labuan",2010,19,88200
"Labuan",2011,16,89400
"Labuan",2012,10,90500
"Labuan",2013,14,91400
"Labuan",2014,11,93800
"Labuan",2015,2,95100
"Labuan",2016,13,96800
"Labuan",2017,91,97600
"Labuan",2018,102,99000
"Labuan",2019,36,99300
